title,content,tokens
Page 77,"The String: A Place for Your Lines, Characters, and Bytes 49 title = 'It was a dark and stormy night' title.sub!( 'dark', 'bright' ) title.sub!( 'stormy', 'clear' ) Then title will end up asIt was a bright and clear night' . If your interest runs more towards searching for things than changing them, you can locate a string within a bigger string with the method: ""It was a dark and stormy night"".index( ""dark"" ) # Returns 9 The String: A Place for Your Lines, Characters, and Bytes Along with being things themselves, strings are also collections of other things. One odd aspect of strings is that they can’t quite make up their minds as to the kinds of things they collect. Most commonly we think of strings as being collections of char- acters—after all, if you sayhor[3] you are trying to get at the fourth character of the@author string. If you do think of your strings as collections of characters, you can use theeach_char method to iterate. Thus, @author is'Clarke' , this: @author.each_char {|c| puts c} Will produce: C l a r k e You can also look at a string as a collection of bytes—after all, behind all those pretty characters are some utilitarian bytes. If you want to look at the bytes behind your string, you can loop through them with the aptly namedch_byte method: @author.each_byte { |b| puts b }",239
Page 78,"50 Chapter 4. Take Advantage of Ruby’s Smart Strings This code will print out a series of numbers, one for each byte: 3 67 108 97 114 107 101 Strings can also hold more than one line, and if you find yourself with such a string, then you can look at it as a collection of lines: @content.each_line { |line| puts line } Interestingly, since the “collection of what?” question is not one that can really be answered for strings, Ruby’s string class omits the plain oldeach method. 4 In the Wild As I said at the beginning of this chapter, most real-world programs spend their lives swimming through a sea of strings. For example, five minutes of poking around in the Ruby standard library uncovered this: def html_escape(s) s.to_s.gsub(/&/, ""&amp;"").gsub(/\""/, ""&quot;""). gsub(/>/, ""&gt;"").gsub(/</, ""&lt;"") end This code, which decontaminates a string so that it is suitable for use in HTML and XML, is from the RSS library. The slashes around the first arguments to gsub mark those arguments as regular expressions, which we will look at in the next chapter. 3. The difference between bytes and characters isn’t just the difference between a single number and an associated character. If you happen to be dealing with the multi-byte characters—common in many Asian languages—then your strings can have many more bytes than characters. 4. This was not always the case. In pre-1.9 versions of Ruby, strings did have an each method that iterated over—wait for it—lines! This somewhat less than intuitive method disappeared in 1.9. 5. The code is slightly edited to fit on the page.",270
Page 79,"Staying Out of Trouble 51 If making text safe for XML seems a bit pedestrian, consider the inflection code in Rails. Rails uses the inflection facility to figure out that the class contained within current_employee.rb should be CurrentEmployee and the database table associated with CurrentEmployee is current_employees . Although this sounds sophisticated in a very AI way, it’s all done with simple string processing. The key data structure behind the Rails inflections is a set of rules, where each rule consists of a pattern and a replacement. The easiest inflection rules to understand are ones that handle the irregular cases, like pluralizing 'person' into 'people' . Here’s the code that creates a bunch of special pluralizing cases: inflect.irregular('person', 'people') inflect.irregular('man', 'men') inflect.irregular('child', 'children') inflect.irregular('sex', 'sexes') And how does Rails actually apply those rules? With a call to gsub 6: inflections.plurals.each do |(rule, replacement)| break if result.gsub!(rule, replacement) end The inflections code is one of the things that gives Rails its wonderful human- centered feeling, and it’s all built aroungsub . Staying Out of Trouble Ruby strings are mutable. Since this aspect of the language takes many newcomers by surprise, let me say it again: Ruby strings are mutable. Like the collections, it is per- fectly possible to change a Ruby string out from under code that is expecting the string to remain stable. Keep in mind that if you have these two strings: first_name = 'Karen' given_name = first_name 6. Again, the code is edited to fit on the page.",267
Page 80,"52 Chapter 4. Take Advantage of Ruby’s Smart Strings In fact you only have one string: Modify first_name : first_name[0] = 'D' And you have also changed given_name . You should treat Ruby strings like any other mutable data structure. Get in the habit of saying this: first_name = first_name.upcase Instead of this: first_name.upcase! Finally, you can sometimes make your string code more comprehensible by tak- ing advantage of the flexibility that Ruby gives you between those string indexing brackets. You can, for example, use negative numbers to index from the end of the string, with -1 being the last character in the string, so that you can turn this: first_name[first_name.size - 1] Into first_name[-1] You can also use ranges to index into your strings so that ""abcde""[3..4] will evalu- ate to""de"" . Wrapping Up As with the collection classes, Ruby strings are a good news/bad news proposition.The good news is that strings are very powerful objects that allow you to do all sorts of interesting things. You have a range of string literal forms to choose from, everything from 'simple quoted strings' to%Q{much more exotic forms} . The bad news is that strings are very powerful objects that you have to learn how to use. The program- ming power that flows out of really mastering the string API is well worth the effort— especially when you couple your strings to regular expressions, which is where we turn next.",254
Page 81,"C HAPTER 5 Find the Right String with Regular Expressions I’d like to pose a problem for you: Imagine that you have some text stored in a string, and somewhere in that text hides a time, something like 09:24 AM . You need to write a program that will locate the time. How do you do it? You might, using the methods we talked about in the last chapter, scan the string for a digit and then check to see whether it is followed by another digit and then see whether that is followed by a colon, then two more digits . . . well, you get the picture. Doing all this with the String methods is certainly possible. Tedious, but possible. Sometimes a problem speaks to you. This time-finding problem is trying to tell you that you are using the wrong tool. The tool this problem is crying out for is the regular expression. The idea behind the regular expression—that you construct a pat- tern that either will or will not match some string—is as simple as regular expressions are powerful. Unfortunately, regular expressions have a reputation for being complex and obscure, and many engineers shy away from them. But shying away from regular expressions is not really an option: As we saw in the last chapter, Ruby programs do a lot of string processing, and where you find strings you will find regular expressions. To help with the shyness, we’ll spend the first half of this chapter going over the reg- ular expression basics before turning to their use in Ruby code. As usual, we will fin- ish with a look at some real-world uses for regular expressions as well as some of the sharp edges that you would do well to avoid. 53",297
Page 82,"54 Chapter 5. Find the Right String with Regular Expressions Matching One Character at a Time 1 Although whole books have been written about regular expressions, the basics of this very useful tool are not very complex. For example, in a regular expression, letters and numbers match themselves. Thus: • The regular expression x will match x. • The regular expression aaa will match three a’s all in a row. • The regular expression 123 will match the first three numbers. • The regular expression R2D2 will match the name of a certain sci-fi robot. By default, case is important in regular expressions, so the last expression will not 2 match r2d2 nor will it match R2d2. Unlike letters and numbers, most of the punctuation characters—things like . and —have special meanings in regular expressions. For example, the period or dot 3 character matches any single character. Thus: • The regular expression . will match any single-character string including rnd % and ~. • In the same way, two periods ( .. ) will match any two characters, perhaps xx or 4F or even [!, but won’t match Q since it’s one, not two, characters long. You use a backslash to turn off the special meanings of the punctuation charac- ters. Thus: • The regular expression \. will match a literal dot. • 3\.14 will match the string version of PI to two decimal places, complete with the decimal point: 3.14 • Mr\. Olsen will match exactly one thing: Mr. Olsen 1. See the Appendix for the names of a couple of books on regular expressions. 2. As we will see in a bit, you can turn off regular expression case sensitivity. 3. Well, any single character except a newline character, but keep reading.",276
Page 83,"Sets, Ranges, and Alternatives 55 One of the beauties of regular expressions is that you can combine the different kinds of expressions to build up more complex patterns. For example: • The regular expression A. will match any two-character string that starts with a capitalA , includingAM,An ,t , and even A=. • Similarly,...X will match any four-character string that ends with an X includ- ing UVWX and XOOX . • Theregularexpression .r\. Smith willmatchboth Dr. Smith aswellas Mr. Smith but not Mrs. Smith. It’s easy to see how the dot, with its talent for matching any single character, extends the reach of regular expressions. But what if you want to match something less than any? What if you want to write an expression that would match only the letters, or only the vowels, or maybe just the numbers? Sets, Ranges, and Alternatives Enter the set. Sets match any one of a bunch of characters. To create a regular expres- sion set, you wrap the characters in square brackets: Thus the regular expression [aeiou] will match any single lowercase vowel.The key word there is single: Although [aeiou] will match the single charactera or the single character , it will not match ai, sinceai is two characters long. Similarly: • The regular expression [0123456789] will match any single digit. 4 • [0123456789abdef] will match any single hexadecimal digit, like 7 orf. Once you understand how sets work, you can start to build up some fairly com- plex regular expressions. For example: • The regular expression [Rr]uss [Oo]lsen will match my name, with or without leading capitals. • More practically, you could use [0123456789abcdef][0123456789abcdef] to pick out a two-digit hexadecimal number like 3e or ff . 4. As long as the letter, if there is one, is lowercase.",290
Page 84,"56 Chapter 5. Find the Right String with Regular Expressions • You can also use [aApP][mM] to match am or PM and anything in between, like aM or Pm . There is one problem with simple sets: They don’t scale well at the keyboard. No one wants to type [0123456789abcdef] , let alone[abcdefghijklmnopqrstuvwxyz] or [abcdefghijklmnopqrstuvwxyz0123456789] . Fortunately, there is a special regu- lar expression syntax for building just this sort of large set of continuous characters: the range. As the name suggests, you define a range by specifying the beginning and end of a sequence of characters, separated by a dash. So the range [0–9] will match exactly what you expect: any decimal digit. Similarly, [a-z] will match any lowercase letter. You can also combine several ranges together and mix them with the regular set nota- tion, so that: • [0-9abcdef] will match a single hexadecimal digit. • [0-9a-f] will also match a single hexadecimal digit. • [0-9a-zA-Z_] will match any letter, number, or the underscore character. If even [0-9] seems like too much work, there are some shorter shortcuts for common sets: • \d will match any digit, so that\d\d will match any two digit number from 00 to 99 . • \w , where the wtands for “word character,” will match any letter, number or the underscore. • \s will match any white space character including the vanilla space, the tab, and the newline. Another way to extend the power of your regular expressions is by using alterna- tives. If you separate the different parts of your expression with the vertical bar char- acter , the expression will match either the thing before the bar or the thing after it: • A|B will match either Aor B • AM|PM will match either AM or PM. • Batman|Spiderman will match the name of one of the two superheros.",303
Page 85,"The Regular Expression Star 57 The sky is the limit with alternatives: You can specify as many choices as you like. Thus A\.M\.|AM|P\.M\.|PM will match A.M. or AM, orP.M. or PM. You can also sur- round your alternatives in parentheses to set them off from the rest of the pattern, so that: The (car|boat) is red Will match both The car is red as well asThe boat is red . Pull all of this together and you have enough regular-expression moxie to solve the time-finding problems that we opened this chapter with: \d\d:\d\d (AM|PM) Translated into English, the expression above says “Any string that starts with two digits, followed by a colon, followed by two more digits, followed by a space, followed by eitherAM or PM.” The Regular Expression Star Now that we have the basics of regular expressions down it’s time to move on to the interesting part: the asterisk. In regular expressions, an aster*) matches zero or more of the thing that came just before it. Pause and think that through for a minute . . . zero or more of the thing that came just before the asterisk. What this means is thatA* will match zero or more ’s.The is the thing that came before the star, so the pattern will match zero or more ’s. Similarly: • AB* will match AB —that’s an A followed by one . • AB* will also matchABB as well asABBBBBBBB —remember, it’s an A followed by any number of B ’s. • Don’t forget thatAB* will also match plain oldA—any number of ’s Bncludes no B’s at all. Although our examples so far have the star at the end of the expression, you can put it anywhere: It can be up at the front, so tR*uby means any number of ’R fol- lowed by uby. So uby,Ruby ,Ruby , andRRRRRRRuby all match. The star can also be in the middle of your expression, so that you can use Rub*y to match Ruy Ruby , as well asRubbbbbbbbby . There’s also no limit to the number of stars that you can use in",367
Page 86,"58 Chapter 5. Find the Right String with Regular Expressions a regular expression so thatR*u*by will match any number of ’sRfollowed by any number of u’s followed byby. You can also use the star in combination with sets, so that: • The expression [aeiou]* will match any number of vowels: The whole [aeiou] set is the thing that came before the star. • Likewise, the expression[0–9]* will match any number of digits. • And [0-9a-f]* will match any number of hexadecimal digits. Finally, we can combine the idea of a dot matching any single character and the * matching zero or more of the thing that came before into one of the most widely used of all regular expressions: .* This little gem—just a dot followed by an asterisk—will match any number of any characters, or to put it another way, anything.This works because the star matches any number of what came before, so that .* is the same as. and .. and ... and so on. But . matches any single character, while.. matches any two characters, and so on. So .* will match anything. Frequently you combine .* with other regular expression bits to make extremely elastic patterns. For example: • The regular expression George.* will match the full name of anyone whose first name is George . • In contrast,.*George will match the name of anyone whose last name is George . • Finally.*George.* will match the name of anyone who has George in his name somewhere. Regular Expressions in Ruby In Ruby, the regular expression, oregexp for short, is one of the built-in data types, with its own special literal syntax. To make a Ruby regular expression you encase your pattern between forward slashes. So in Ruby our time regular expression would be: 5. Regexpis the name of the Ruby regular expression class.",301
Page 87,"Regular Expressions in Ruby 59 /\d\d:\d\d (AM|PM)/ You use the =~ operator to test whether a regular expression matches a string. Thus, if we wanted to match the regular expression above with an actual time we would run: puts /\d\d:\d\d (AM|PM)/ =~ '10:24 PM' Which would print out: 0 That zero is trying to tell us a couple of things. First, it is saying that the regular expression matched, starting at index zero. Second, the zero is telling us is that when you match a regular expression, Ruby scans along the string, searching for a match anywhere in the string. We can see the scanning in action with this next example: puts /PM/ =~ '10:24 PM' Run the code shown here and it will print: 6 That six is an indication that tRegexp did match, but only after Ruby scanned well into the string. If there is no match, then you will nil aack for your trou- ble, so that this: /May/ =~ 'Sometime in June' Will return a nil. Since =~ returns a number when it finds a match and nil if it doesn’t, you can use regular expression matches as booleans: the_time = '10:24 AM' puts ""It's morning!"" if /AM/ =~ the_time The =~ operator is also ambidextrous: It doesn’t matter whether the string or the regular expression comes first, so we could rephrase the last example as: puts ""It's morning!"" if '10:24 AM' =~ /AM/",242
Page 88,"60 Chapter 5. Find the Right String with Regular Expressions As I mentioned earlier, regular expressions are by default case se/AM/iwill not match 'am'. Fortunately, you can turn that case sensitivity off my stiikong an the end of your expression, so that this: puts ""It matches!"" if /AM/i =~ 'am' Will print something. Aside from their more or less stand-alone use with theerator, regular expres- sions also come into play in the string methods that involve searching. Thus, you can pass a regular expression into the string method, perhaps to blot out all of the times in the content of a document: class Document # Most of the class omitted... def obscure_times! @content.gsub!( /\d\d:\d\d (AM|PM)/, '**:** **' ) end end Taken together, strings and regular expressions make for a very powerful text- processing toolkit. Beginnings and Endings The fact that the~ operator scans for a match anywhere in the string raises an inter- esting question: What if you only want your regular expression to match at the begin- ning of the string? For example, what if you were looking for the Once upon a time? No problem: Simply cook up a straightforward regular expression: /Once upon a time/ But what if you were looking specifically for fairy tales, which typically start with those immortal words? Again, there’s a special regular expression for that,us: /\AOnce upon a time/",237
Page 89,"Beginnings and Endings 61 Will match a string only if it begins like a fairy tale. Note that the\A doesn’t match the first character. Instead, it matches the unseen leading edge of the string. Similarly, \z (note the lower case) matches the end of the string, so that: /and they all lived happily ever after\z/ Will only match a string that ends like a classic fairy tale. Multiline strings, the ones full of embedded newlines, present some interesting challenges when you are doing this sort of work. Imagine that our alleged fairy tale is stored in a multiline string like this: content = 'The Princess And The Monkey Once upon a time there was a princess... ...and they all lived happily ever after. The End' Now you know, and I know, this is a fairy tale, but how do we write a regular expres- sion that will know it? Our previous try, /\AOnce upon a time/ isn’t going to work because the string above doesn’t start with the right words. Instead, inside of the string is a line that starts with the magic words. Fortunately, there a Regexp for that too: the circumflex ^.The circumflex character matches two things: the beginning of the string or the beginning of any line within the string. Just the thing to ferret out a fairy tale: puts ""Found it"" if content =~ /^Once upon a time/ Similarly, the dollar sign $ matches the end of the string or the end of any line within the string, so that we could also say: puts ""Found it"" if content =~ /happily ever after\.$/ Multiline strings pose one more challenge to regular expressions, specifically to the dot: By default, the dot will match any character except the newline character. So if we were trying to match the whole text of fairy tale, less the title andhe End , we might try: /^Once upon a time.*happily ever after\.$/",324
Page 90,"62 Chapter 5. Find the Right String with Regular Expressions But this attempt is doomed because the .* won’t match across the lines . . . unless we simply turn off this behavior by adding an m to our expression: /^Once upon a time.*happily ever after\.$/m And then they did live happily ever after. In the Wild You can find a great example of the practical use of regular expressions in thee.rb file, which comes with your Ruby installation. The code in time.rb knows how to parse a string containing a date and time in any of a number of standard formats and turn it into an instance of theTime class. Unlike the simple example that kicked off this chapter,time.rb needs to deal with all of the glorious complexities of real dates and times. Early on in the file you will find tzone_offset method, which attempts to parse the time zone section of a date and time string, figuring out if this string is supposed to represent 12:01 AM in Greenwich or Green Bay or Greenland. Among other things, the method needs to be able to understand time zones expressed as names like 'UTC' , or in numeric offsets like-07:00' . The zone_offset method starts out by switching the whole zone string to upper- case, mixing in a pinch of simplicity right there at the start: def zone_offset(zone, year=self.now.year) # ... zone = zone.upcase # ... Next the code tests the zone against a number of regular expressions, trying to fig- ure out if the zone is one of the numeric forms: if /\A([+-])(\d\d):?(\d\d)\z/ =~ zone This expression makes use of a regular expression feature that we haven’t seen yet: Similar to the asterisk, the question mark matches zero or one of the things that came 6. It can also go the other way, from the Time object to a string.",322
Page 91,"Staying Out of Trouble 63 before. Thus :? allows the regular expression to match zone offsets with or without a colon. If the regular expression doesn’t match, thezone_offset method goes on to do some plain old string comparison-based processing, looking for things like 'GMT' or 'EST' , all of which are stored in thZoneOffset collection: elsif ZoneOffset.include?(zone) The zone_offset method takes a wonderfully pragmatic approach to an annoyingly complex problem: It uses regular expressions where they work best and the simple string methods where they work best. Staying Out of Trouble There are a couple of easy-to-make but also easy-to-avoid mistakes that you can perpe- trate when working with regular expressions. The first is to write something like this: puts /abc*/ == ""abccccc"" The problem with this code is that I’ve let my fingers do the thinking as well as the typing. The regular expression/abc*/ will never, ever be equal toabcccccc"" , at least according to the== operator. Remember that the regular expression match oper- ator is=~ and not == . The correct way to say it is: puts /abc*/ =~ ""abccccc"" The second boneheaded thing that you can do, particularly if your background includes C or C++, 7 is to look at the output of the last example: 0 And decide that there was no match. Zero always seems so negative to C++ program- mers. What the result is trying to tell you is that the regular expression matched the string starting at the beginning, or the zero-th index of the string. As we saw earlier, regular expression matches return nil when there is no match. 7. As does mine, so I know the bonehead of which I speak.",280
Page 92,"64 Chapter 5. Find the Right String with Regular Expressions Wrapping Up When it comes to serious string processing, there is only one word for regular expres- sions, and that word is gift. Regular expressions, with their stars, dollar signs, and lit- tle hat characters, can be intimidating, but the fundamental ideas are well within the reach of any coder.",62
Page 93,"C HAPTER 6 Use Symbols to Stand for Something I have to admit that I tend to be a bit anthropomorphic about the technologies I work with. I just can’t help but think of all those complex piles of software as somehow alive, each with its own personality—sometimes friendly, sometimes not. Early in my career I imagined FORTRAN as a grouchy old camel—capable of carrying a huge load, but fairly ugly and not a creature you would want to turn your back on. Later on I had this mental image of the -> operator in the C programming language (it dereferences pointers) as an arrow in flight: also very powerful, also nothing to mess with. These days, the colon that precedes every Ruby symbol always makes me think of the eyes peering out from the tilted head of a confused but friendly dog. The key word here is confused—symbols probably have the dubious distinction of being the one bit of syn- tax that perplexes the greatest number of new Ruby programmers. In this chapter I am going to try to stamp out all of that confusion and show sym- bols for what they really are: very simple, useful programming language constructs that are a key part of the Ruby programming style. So let’s get started and see why symbols are such handy little mutts to have around. The Two Faces of Strings Sometimes a good way to explain a troublesome topic is to engage in a little creative fiction. You start out with an oversimplified explanation and, once that has sunk in a 65",271
Page 94,"66 Chapter 6. Use Symbols to Stand for Something bit, you work your way from there back to the real world. In this spirit, let’s start our exploration of symbols with a slight simplification: Symbols are really just strings.This is not as far fetched as it sounds:Think about the string ""dog"" and its closest symbolic cousin, :dog . The thing that hits you in the face about these two objects is that they both are essentially three characters: a “d”, an “o”, and a “g”. Strings and symbols are also reasonably interchangeable in real life code:Take this familiar example of some ActiveRecord code, which finds all of the records in the books table: 1 book = Book.find(:all) The argument to the find method is simply a flag, there to tellfind that we want all of the records in thebooks table—not just the first record, not just the last record, but all of them. The actual value that we pass into Book.find doesn’t really matter very much. We might imagine that if we had the time and motivation, we could go into the guts of ActiveRecord and rewrite the code so that we could use a string to sig- nal that we wanted all the books: book = Book.find('all') So there is my simplified explanation of symbols: Other than the fact that typing :all requires one less keystroke than typing 'all' , there is not really a lot to distin- guish a symbol from a string. So why does Ruby give us both? Not Quite a String The answer is that we tend to use strings of characters in our code for two rather dif- ferent purposes: The first, and most obvious, use for strings is to hold some data that we are processing. Read in those Book objects from the database and you will very likely have your hands full of string data, things like the title of the book, the author’s name, and the actual text. The second way that we use strings of characters is to represent things in our pro- grams, things like wanting to find all of the records in a table. The key thing about 1. If you are not familiar with ActiveRecord, don’t worry. In ActiveRecord there is a class for each database table. In our example we have the (unBook)class that knows about tbookstable. Every ActiveRecord table class has a class methodfind, which takes various arguments telling the method for what it should search.",421
Page 95,"Optimized to Stand for Something 67 :all in our Book ActiveRecord example is that ActiveRecord can recognize it when it sees it—the code needs to know which records to return, and :all is the flag that says it should return every one. The nice thing about using something like :all for this kind of “stands for” duty is that it also makes sense to the humans: You are a lot more likely to recognize what :all means when you come across it than , or0 -1, or even (heaven forbid!) 0x29ef . These two uses for strings of characters—for regular data processing tasks on the one hand and for internal, symbolic, marker-type jobs on the other—make very dif- ferent demands on the objects. If you are processing data, you will want to have the whole range of string manipulation tools at your fingertips: You might want the first ten characters of the title, or you might want to get its length or see whether it matches some regular expression. On the other hand, if you are using some characters to stand for something in your code, you probably are not very interested in messing with the actual characters. Instead, in this second case you just need to know whether this thing is the flag that tells you to find all the records or just the first record. Mainly, when you want some characters to stand for something, you simply need to know if this is the same as that, quickly and reliably. Optimized to Stand for Something By now you have probably guessed that the Ruby String class is optimized for the data processing side of strings while symbols are meant to take over the “stands for” role—hence the name. Since we don’t use symbols for data processing tasks, they lack most of the classic string manipulation methods that we talked about in Chapter 4. Symbols do have some special talents that make them great for being symbols. For example, there can only ever be one instance of any given symbol: If I mention :all twice in my code, it is always exactly the same :all . So if I have: a = :all b = a c = :all I know that ,a band allcrefer to exactly the same object. It turns out that Ruby has a number of different ways to check whether one object is equal to another, but 2. For more on object equality, see Chapter 12.",411
Page 96,"68 Chapter 6. Use Symbols to Stand for Something with symbols it doesn’t matter: Since there can only be one instance of any given sym- bol,:all is always equal to itself no matter how you ask: # True! All true! a == c a === c a.eql?(c) a.equal?(c) In contrast, every time you say""all"" , you are making a brand new string. So if you say this: x = ""all"" y = ""all"" Then you have manufactured two different strings. Since both the strings happen to contain the same three characters, the two strings are equal in some sense of the word, but they are emphatically not identically the same object. The fact that there can only be one instance of any given symbol means that figuring out whether this symbol is the same as that symbol is not only foolproof, it also happens at lightning speeds. Another aspect of symbols that makes them so well suited to their chosen career is that symbols are immutable—once you create that :all symbol, it will be :all until the end of time. You cannot, for example, make it uppercase or lob off the sec- ond 'l' .This means that you can use a symbol with confidence that it will not change out from under you. You can see all these issues at play in hashes. Since symbol comparison runs at NASCAR speeds and symbols never change, they make ideal hash keys. Sometimes, however, engineers want to use regular strings as hash keys: author = 'jules verne' title = 'from earth to the moon' hash = { author => title } 3. Or at least until your Ruby interpreter exits.",274
Page 97,"In the Wild 69 So what would happen to the hash if you changed the key out from underneath it? author.upcase! The answer is that nothing will happen to the hash, because the Hash class has special defenses built in to guard against just this kind of thing. Inside ofsh there is spe- cial case code that makes a copy of any keys passed in if the keys happen to be strings. The fact that theHash class needs to go through this ugly bit of special pleading pre- cisely to keep you from coming to grief with string keys is the perfect illustration of the utility of symbols. In the Wild In practice, the line between symbols and regular strings is sometimes a bit blurry. It is, for example, trivially easy to turn a symbol into a string: You just use the ubiqui- tous to_s method: the_string = :all.to_s To go in the reverse direction, you can use theto_sym method that you find on your strings: the_symbol = 'all'.to_sym The blurriness between symbols and strings sometimes also extends into the minds of Ruby programmers. For example, every object in Ruby has a method called public_methods , which returns an array containing the names of all of the public methods on that object. Now, you might argue that method names are the poster chil- dren for objects that stand for something (in this case a bit of code), and therefore the public_methods method should return an array of symbols. But call public_methods in a pre-1.9 version of Ruby, like this: x = Object.new pp x.public_methods",278
Page 98,"70 Chapter 6. Use Symbols to Stand for Something And you will get an array of strings, not symbols: [""inspect"", ""pretty_print_cycle"", ""pretty_print_inspect"", ""clone"", ... ] Is there something wrong with our reasoning? Apparently not, because in Ruby 1.9 public_methods does indeed return an array of symbols: [:pretty_print, :pretty_print_cycle, :pretty_print_instance_variables, :pretty_print_inspect, :nil?, ... ] The lesson here is that if you find symbols a bit confusing, you seem to be in very good company. Staying Out of Trouble Given the curious relationship between symbols and strings, it probably will come as no surprise that the best way to screw up with a symbol is to use it when you wanted a string, and vice versa. As we have seen, you want to use strings for data, for things that you might want to truncate, turn to uppercase, or concatenate. Use symbols when you simply want an intelligible thing that stands for something in your code. The other way to go wrong is to forget which you need at any given time. This seems to happen a lot when using symbols as the keys in hashes. For example, take a look at this code fragment: # Some broken code person = {} person[:name] = 'russ'",210
Page 99,"Wrapping Up 71 person[:eyes] = 'misty blue' # A little later... puts ""Name: #{person['name']} Eyes: #{person['eyes']}"" The code here is broken, but you might have to look at it a couple of times to see that the keys of the person hash are symbols, but the puts statement tries to use strings. What you really want to say here is: puts ""Name: #{person[:name]} Eyes: #{person[:eyes]}"" This kind of mistake is common enough that Rails actually provides a Band-Aid for it in the form of the HashWithIndifferentAccess class. This convenient, but somewhat dubious bit of code is a subclass of Hash that allows you to mix and match strings and symbols with cheerful abandon. Wrapping Up In this chapter we have looked at symbols and saw that they exist purely to stand for something in your code. Symbols and garden variety strings have a lot in common— both are mostly just a stretch of characters. Unlike strings, symbols are specially tuned to their “stands for” purpose: Symbols are both unique—there can only ever be one :all symbol in your Ruby interpreter—and immutable, so that :all will never change. The good news is that once you understand that symbols and strings are like two siblings—related, but with different talents—you will be able to take advantage of the things that each does best.",230
Page 100,This page intentionally left blank,9
Page 101,"C HAPTER 7 Treat Everything Like an Object—Because Everything Is Early in my career I worked with a mainframe operating system that had a variety of file types. That old OS supported text files for your documentation, source files for your code, executable files for your programs, and data files for your output. Actually, “supported” is not really the right word. “Imposed with an iron fist” would be more accurate. Creating new files involved specifying the file type using a complex and arcane syntax. You needed to use one command for copying data files and a similar, but subtlety different, command for copying source files. Converting from one file type to another was a task worthy of a Ph.D. I’m sure that the designers of that ancient system had originally set out to make life easier for their users by imposing some order on the everyday complexities of computing. Along the way, however, they lost sight of something important: Sometimes—like when you are trying to make a copy—a file is just a file. Ruby is an object oriented programming language, which means that the world of Ruby is a world of objects, instances oDate and String and Document and a thou- sand other classes. As different as all these objects are bound to be, at some level they are all just objects. In the pages that follow we will focus on the things that all Ruby objects have in common. We will start by doing a quick tour of the Ruby object sys- tem and then look at how pervasive objects are in Ruby. Next we will look at the 73",278
Page 102,"74 Chapter 7. Treat Everything Like an Object—Because Everything Is methods common to all Ruby objects, the basic toolkit that every object inherits, and at how you can control access to methods. We will round out the chapter by looking at how classes and methods play a key role in the infrastructure of Ruby itself and at some avoidable potholes lurking in the land of the object. A Quick Review of Classes, Instances, and Methods On the surface, Ruby is a very conventional, almost boring, object oriented language. Every Ruby object is an instance of some class. Classes mainly earn their keep by pro- viding two key things: First, classes act as containers for methods: class Document # Most of the class omitted... # A method def words @content.split end # And another one def word_count words.size end end Second, classes are also factories, factories for making instances: doc = Document.new( 'Ethics', 'Spinoza', 'By that which is...' ) Once you have an instance, you can call methods on it using the more or less uni- versal object oriented syntaxinstance.method_name : doc.word_count During a method call, Ruby setself to the instance that you called the method on, so that if you added thisDocument :",208
Page 103,"A Quick Review of Classes, Instances, and Methods 75 class Document # Most of the class on holiday... def about_me puts ""I am #{self}"" puts ""My title is #{self.title}"" puts ""I have #{self.word_count} words"" end end And then ran doc.about_me , you would see something like: I am #<Document:0x8766ed4> My title is Ethics I have 4 words Ruby treatsself as a sort of default object: When you call a method without an explicit object reference, Ruby assumes that you meant to call the method onso that a call to plain oldd_count gets translated self.word_count . You should rely on this assumption in your code: Don’t writself.word_count when a plain word_count will do. Every class—except one—has a superclass, someplace that the class can turn to when someone calls a method that the class doesn’t recognize. If you don’t specify a superclass when you are defining a new class, the new class automatically becomes a direct subclass oObject. Our Document class, for example, is a direct subclass of Object . Alternatively, you can specify a different superclass: # RomanceNovel is a subclass of Document, # which is a subclass of Object class RomanceNovel < Document # Lot's of steamy stuff omitted... end 1. You Python programmers know who I’m talking to!",222
Page 104,"76 Chapter 7. Treat Everything Like an Object—Because Everything Is The Ruby technique for resolving methods is straight out of the object oriented handbook: Look for the method in the class of the object. If it is there, call it and you are done. If not, move on to the superclass and try there. Repeat until you either find the method or run out of superclasses. Objects All the Way Down While Ruby’s basic object system is not the most original bit of technology, it does have something very powerful going for it: consistency. You can see just how consistent Ruby’s object oriented philosophy is by computing the absolute value of a number: -3.abs # Returns 3 Nothing very exciting there … except for the syntax. Why is -3.abs and not abs(-3) ? The answer is both simple and profound: In Ruby the number -3 is an object. When you say -3.abs, you are calling thes method on an object, an object that goes by the name-3. It’s not just the numbers either. In Ruby, strings and sym- bols and regular expressions are all objects, objects that come equipped with their very own methods: # Call some methods on some objects ""abc"".upcase :abc.length /abc/.class In fact, virtually everything you come across in Ruby is an object. You might, for example, think thattrue and false are a couple of special Ruby language constructs. Not so—they’re just objects: # Call some methods on a couple of familiar objects true.class # Returns Trueclass false.nil? # False is close, but not nil 2. Ruby does add some cool twists to its fairly vanilla object model, twists that we are going to explore in Chapters 13, 16, and 24.",289
